2010-2011 Combined,2020-2021 Combined
2,19.04
14,16.66
21,14.28
8,24.99
11,5.95
14,8.33
11,17.85
8,5.95
17,7.14
15,15.47
16,16.66
9,7.14
9,19.04
20,20.23
14,5.95
18,5.95
10,5.95
8,8.33
20,4.76
2,4.76
46,11.9
9,15.47
10,20.23
11,16.66
17,22.61
13,5.95
20,8.33
28,9.52
10,11.9
17,9.52
13,7.14
11,9.52
6,16.66
14,7.14
9,13.09
2,11.9
6,8.33
14,9.52
13,15.47
7,23.8
14,20.23
40,15.47
12,5.95
14,5.95
0,11.9
12,19.04
11,14.28
21,16.66
16,14.28
11,9.52
22.66,8.68
11.33,17.36
32.96,22.32
0,14.88
11.33,8.68
14.42,6.2
11.33,8.68
4.12,17.36
9.27,18.6
5.15,11.16
9.27,8.68
14.42,14.88
10.3,24.8
21.63,19.84
20.6,8.68
8.24,6.2
10.3,13.64
13.39,8.68
8.24,4.96
13.39,4.96
47.38,13.64
9.27,6.2
20.6,19.84
17.51,11.16
20.6,9.92
22.66,18.6
21.63,26.04
28.84,16.12
24.72,7.44
10.3,12.4
21.63,14.88
15.45,9.92
6.18,11.16
14.42,13.64
8.24,12.4
7.21,9.92
8.24,17.36
30.9,12.4
9.27,17.36
13.39,16.12
18.54,24.8
41.2,11.16
16.48,12.4
10.3,22.32
10.3,17.36
19.57,6.2
12.36,11.16
16.48,9.92
12.36,19.84
9.27,7.44
